ATOM	Z	THR	ORDER	BOX	CENTERED?	D2?	PREC (-log)	DERIVATIVE	ENERGY
Ne	10	3	7	5	0	0	4	BS	-5.00667141060694E+01
Ne	10	4	8	5	0	0	5	BS	-5.00667331779077E+01
Ne	10	5	9	5	0	0	6	BS	-5.00667209123203E+01
Ne	10	6	10	5	0	0	7	BS	-5.00667224275748E+01
Ne	10	7	11	5	0	0	8	BS	-5.00667219388997E+01
Ne	10	3	7	5	0	1	4	BS	-5.00669991300164E+01
Ne	10	4	8	5	0	1	5	BS	-5.00667221912081E+01
Ne	10	5	9	5	0	1	6	BS	-5.00667219850875E+01
Ne	10	6	10	5	0	1	7	BS	-5.00667219931092E+01
Ne	10	7	11	5	0	1	8	BS	-5.00667220084615E+01
Ne	10	3	7	5	1	0	4	BS	-5.00708206192757E+01
Ne	10	4	8	5	1	0	5	BS	-5.00670643758530E+01
Ne	10	5	9	5	1	0	6	BS	-5.00667457214040E+01
Ne	10	6	10	5	1	0	7	BS	-5.00667078702463E+01
Ne	10	7	11	5	1	0	8	BS	-5.00667218381895E+01
Ne	10	3	7	5	1	1	4	BS	-5.00667384001753E+01
Ne	10	4	8	5	1	1	5	BS	-5.00667411055037E+01
Ne	10	5	9	5	1	1	6	BS	-5.00667307254661E+01
Ne	10	6	10	5	1	1	7	BS	-5.00667220437098E+01
Ne	10	7	11	5	1	1	8	BS	-5.00667220108043E+01
Ne	10	3	7	5	0	0	4	ABGV	-5.00567231019013E+01
Ne	10	4	8	5	0	0	5	ABGV	-5.00662917525005E+01
Ne	10	5	9	5	0	0	6	ABGV	-5.00666284654762E+01
Ne	10	6	10	5	0	0	7	ABGV	-5.00666916794325E+01
Ne	10	7	11	5	0	0	8	ABGV	-5.00667148186839E+01
Ne	10	3	7	5	0	1	4	ABGV	-5.00669629328622E+01
Ne	10	4	8	5	0	1	5	ABGV	-5.00667210356259E+01
Ne	10	5	9	5	0	1	6	ABGV	-5.00667226351179E+01
Ne	10	6	10	5	0	1	7	ABGV	-5.00667221531512E+01
Ne	10	7	11	5	0	1	8	ABGV	-5.00667219938841E+01
Ne	10	3	7	5	1	0	4	ABGV	-5.00680337113044E+01
Ne	10	4	8	5	1	0	5	ABGV	-5.00660331232538E+01
Ne	10	5	9	5	1	0	6	ABGV	-5.00665411093032E+01
Ne	10	6	10	5	1	0	7	ABGV	-5.00666079107868E+01
Ne	10	7	11	5	1	0	8	ABGV	-5.00667110150825E+01
Ne	10	3	7	5	1	1	4	ABGV	-5.00667022278466E+01
Ne	10	4	8	5	1	1	5	ABGV	-5.00667182958095E+01
Ne	10	5	9	5	1	1	6	ABGV	-5.00667237835114E+01
Ne	10	6	10	5	1	1	7	ABGV	-5.00667224668213E+01
Ne	10	7	11	5	1	1	8	ABGV	-5.00667219882925E+01
Ne	10	3	7	5	0	0	4	PH	-5.00671267081306E+01
Ne	10	4	8	5	0	0	5	PH	-5.00666726933814E+01
Ne	10	5	9	5	0	0	6	PH	-5.00667059954721E+01
Ne	10	6	10	5	0	0	7	PH	-5.00667365948975E+01
Ne	10	7	11	5	0	0	8	PH	-5.00667220045543E+01
Ne	10	3	7	5	0	1	4	PH	-5.00669831555387E+01
Ne	10	4	8	5	0	1	5	PH	-5.00667227801932E+01
Ne	10	5	9	5	0	1	6	PH	-5.00667220176292E+01
Ne	10	6	10	5	0	1	7	PH	-5.00667219555944E+01
Ne	10	7	11	5	0	1	8	PH	-5.00667219986316E+01
Ne	10	3	7	5	1	0	4	PH	-5.01084580781462E+01
Ne	10	4	8	5	1	0	5	PH	-5.00655827141527E+01
Ne	10	5	9	5	1	0	6	PH	-5.00681780017876E+01
Ne	10	6	10	5	1	0	7	PH	-5.00659286795962E+01
Ne	10	7	11	5	1	0	8	PH	-5.00667032039309E+01
Ne	10	3	7	5	1	1	4	PH	-5.00675793936570E+01
Ne	10	4	8	5	1	1	5	PH	-5.00667382633764E+01
Ne	10	5	9	5	1	1	6	PH	-5.00667285888957E+01
Ne	10	6	10	5	1	1	7	PH	-5.00667219445676E+01
Ne	10	7	11	5	1	1	8	PH	-5.00667219984061E+01
Ar	18	3	7	3	0	0	4	BS	-1.62704516246078E+02
Ar	18	4	8	3	0	0	5	BS	-1.62704544766802E+02
Ar	18	5	9	3	0	0	6	BS	-1.62704525669654E+02
Ar	18	6	10	3	0	0	7	BS	-1.62704525885867E+02
Ar	18	7	11	3	0	0	8	BS	-1.62704525381795E+02
Ar	18	3	7	3	0	1	4	BS	-1.62704872904731E+02
Ar	18	4	8	3	0	1	5	BS	-1.62704524165543E+02
Ar	18	5	9	3	0	1	6	BS	-1.62704525386441E+02
Ar	18	6	10	3	0	1	7	BS	-1.62704525546512E+02
Ar	18	7	11	3	0	1	8	BS	-1.62704525590314E+02
Ar	18	3	7	3	1	0	4	BS	-1.62701629849030E+02
Ar	18	4	8	3	1	0	5	BS	-1.62705918161653E+02
Ar	18	5	9	3	1	0	6	BS	-1.62704596707604E+02
Ar	18	6	10	3	1	0	7	BS	-1.62704505866560E+02
Ar	18	7	11	3	1	0	8	BS	-1.62704525019820E+02
Ar	18	3	7	3	1	1	4	BS	-1.62704998948818E+02
Ar	18	4	8	3	1	1	5	BS	-1.62704539874775E+02
Ar	18	5	9	3	1	1	6	BS	-1.62704524838874E+02
Ar	18	6	10	3	1	1	7	BS	-1.62704525751622E+02
Ar	18	7	11	3	1	1	8	BS	-1.62704525603847E+02
Ar	18	3	7	3	0	0	4	ABGV	-1.62715561342960E+02
Ar	18	4	8	3	0	0	5	ABGV	-1.62702671254905E+02
Ar	18	5	9	3	0	0	6	ABGV	-1.62703771181288E+02
Ar	18	6	10	3	0	0	7	ABGV	-1.62704430158810E+02
Ar	18	7	11	3	0	0	8	ABGV	-1.62704510132254E+02
Ar	18	3	7	3	0	1	4	ABGV	-1.62704712425522E+02
Ar	18	4	8	3	0	1	5	ABGV	-1.62704517986880E+02
Ar	18	5	9	3	0	1	6	ABGV	-1.62704525278812E+02
Ar	18	6	10	3	0	1	7	ABGV	-1.62704526885168E+02
Ar	18	7	11	3	0	1	8	ABGV	-1.62704525545432E+02
Ar	18	3	7	3	1	0	4	ABGV	-1.62731603742227E+02
Ar	18	4	8	3	1	0	5	ABGV	-1.62701490670548E+02
Ar	18	5	9	3	1	0	6	ABGV	-1.62702279039574E+02
Ar	18	6	10	3	1	0	7	ABGV	-1.62704371522369E+02
Ar	18	7	11	3	1	0	8	ABGV	-1.62704516519224E+02
Ar	18	3	7	3	1	1	4	ABGV	-1.62704489063409E+02
